LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,HOSPITALBED,TOT,1000HAB,A,1996,6.97,
BEL,HOSPITALBED,TOT,1000HAB,A,1997,6.92,
BEL,HOSPITALBED,TOT,1000HAB,A,1998,6.84,
BEL,HOSPITALBED,TOT,1000HAB,A,1999,6.79,
BEL,HOSPITALBED,TOT,1000HAB,A,2000,6.72,
BEL,HOSPITALBED,TOT,1000HAB,A,2001,6.62,
BEL,HOSPITALBED,TOT,1000HAB,A,2002,6.54,
BEL,HOSPITALBED,TOT,1000HAB,A,2003,6.53,
BEL,HOSPITALBED,TOT,1000HAB,A,2004,6.48,
BEL,HOSPITALBED,TOT,1000HAB,A,2005,6.44,
BEL,HOSPITALBED,TOT,1000HAB,A,2006,6.35,
BEL,HOSPITALBED,TOT,1000HAB,A,2007,6.27,
BEL,HOSPITALBED,TOT,1000HAB,A,2008,6.25,
BEL,HOSPITALBED,TOT,1000HAB,A,2009,6.15,
BEL,HOSPITALBED,TOT,1000HAB,A,2010,6.12,
BEL,HOSPITALBED,TOT,1000HAB,A,2011,6.05,
BEL,HOSPITALBED,TOT,1000HAB,A,2012,5.99,
BEL,HOSPITALBED,TOT,1000HAB,A,2013,5.93,
BEL,HOSPITALBED,TOT,1000HAB,A,2014,5.85,
BEL,HOSPITALBED,TOT,1000HAB,A,2015,5.83,
BEL,HOSPITALBED,TOT,1000HAB,A,2016,5.76,
BEL,HOSPITALBED,TOT,1000HAB,A,2017,5.66,
BEL,HOSPITALBED,TOT,1000HAB,A,2018,5.64,P
BEL,HOSPITALBED,ACUTE,1000HAB,A,1970,4.75,
BEL,HOSPITALBED,ACUTE,1000HAB,A,1988,6.95,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1989,6.95,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1990,6.98,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1991,6.91,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1992,6.86,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1993,6.79,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1994,6.66,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1995,6.59,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1996,6.5,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1997,6.44,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1998,6.32,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,1999,6.26,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2000,6.2,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2001,6.03,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2002,5.92,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2003,5.9,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2004,5.84,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2005,5.79,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2006,5.7,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2007,5.61,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2008,5.59,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2009,5.49,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2010,5.46,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2011,5.38,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2012,5.3,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2013,5.24,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2014,5.24,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2015,5.19,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2016,5.12,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2017,5,D
BEL,HOSPITALBED,ACUTE,1000HAB,A,2018,4.98,P
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1970,2.75,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1988,1.66,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1989,1.69,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1990,1.76,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1991,1.74,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1992,1.71,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1993,1.68,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1994,1.64,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1995,1.61,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1996,1.58,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1997,1.6,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1998,1.61,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1999,1.6,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2000,1.58,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2001,1.53,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2002,1.52,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2003,1.51,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2004,1.52,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2005,1.52,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2006,1.51,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2007,1.5,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2008,1.5,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2009,1.48,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2010,1.47,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2011,1.45,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2012,1.44,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2013,1.41,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2014,1.4,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2015,1.4,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2016,1.38,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2017,1.36,
BEL,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2018,1.36,P
CAN,HOSPITALBED,TOT,1000HAB,A,1976,6.92,
CAN,HOSPITALBED,TOT,1000HAB,A,1977,6.88,
CAN,HOSPITALBED,TOT,1000HAB,A,1978,6.87,
CAN,HOSPITALBED,TOT,1000HAB,A,1979,6.79,
CAN,HOSPITALBED,TOT,1000HAB,A,1980,6.75,
CAN,HOSPITALBED,TOT,1000HAB,A,1981,6.86,
CAN,HOSPITALBED,TOT,1000HAB,A,1982,6.83,
CAN,HOSPITALBED,TOT,1000HAB,A,1983,6.84,
CAN,HOSPITALBED,TOT,1000HAB,A,1984,6.82,
CAN,HOSPITALBED,TOT,1000HAB,A,1985,6.75,
CAN,HOSPITALBED,TOT,1000HAB,A,1986,6.7,
CAN,HOSPITALBED,TOT,1000HAB,A,1987,6.61,
CAN,HOSPITALBED,TOT,1000HAB,A,1988,6.49,
CAN,HOSPITALBED,TOT,1000HAB,A,1989,6.34,
CAN,HOSPITALBED,TOT,1000HAB,A,1990,5.99,
CAN,HOSPITALBED,TOT,1000HAB,A,1991,5.76,
CAN,HOSPITALBED,TOT,1000HAB,A,1992,5.51,
CAN,HOSPITALBED,TOT,1000HAB,A,1993,5.41,
CAN,HOSPITALBED,TOT,1000HAB,A,1995,4.7,B
CAN,HOSPITALBED,TOT,1000HAB,A,1996,4.57,
CAN,HOSPITALBED,TOT,1000HAB,A,1997,4.55,
CAN,HOSPITALBED,TOT,1000HAB,A,1998,4.38,
CAN,HOSPITALBED,TOT,1000HAB,A,1999,3.92,
CAN,HOSPITALBED,TOT,1000HAB,A,2000,3.77,
CAN,HOSPITALBED,TOT,1000HAB,A,2001,3.69,
CAN,HOSPITALBED,TOT,1000HAB,A,2002,3.64,
CAN,HOSPITALBED,TOT,1000HAB,A,2003,3.5,
CAN,HOSPITALBED,TOT,1000HAB,A,2004,3.44,
CAN,HOSPITALBED,TOT,1000HAB,A,2005,3.1,B
CAN,HOSPITALBED,TOT,1000HAB,A,2006,3.02,B
CAN,HOSPITALBED,TOT,1000HAB,A,2007,2.96,
CAN,HOSPITALBED,TOT,1000HAB,A,2008,2.85,
CAN,HOSPITALBED,TOT,1000HAB,A,2009,2.8,
CAN,HOSPITALBED,TOT,1000HAB,A,2010,2.78,
CAN,HOSPITALBED,TOT,1000HAB,A,2011,2.8,
CAN,HOSPITALBED,TOT,1000HAB,A,2012,2.78,
CAN,HOSPITALBED,TOT,1000HAB,A,2013,2.71,
CAN,HOSPITALBED,TOT,1000HAB,A,2014,2.67,
CAN,HOSPITALBED,TOT,1000HAB,A,2015,2.61,
CAN,HOSPITALBED,TOT,1000HAB,A,2016,2.58,
CAN,HOSPITALBED,TOT,1000HAB,A,2017,2.52,
CAN,HOSPITALBED,TOT,1000HAB,A,2018,2.5,P
CAN,HOSPITALBED,ACUTE,1000HAB,A,1976,4.99,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1977,4.87,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1978,4.8,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1979,4.67,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1980,4.62,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1981,4.62,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1982,4.53,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1983,4.52,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1984,4.46,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1985,4.43,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1986,4.37,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1987,4.33,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1988,4.23,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1989,4.12,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1990,4.05,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1991,3.96,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1992,3.78,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1993,3.65,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1995,4.27,B
CAN,HOSPITALBED,ACUTE,1000HAB,A,1996,4.18,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1997,4.16,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1998,3.99,
CAN,HOSPITALBED,ACUTE,1000HAB,A,1999,3.61,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2000,3.48,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2001,3.38,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2002,3.32,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2003,3.18,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2004,3.15,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2005,2.73,B
CAN,HOSPITALBED,ACUTE,1000HAB,A,2006,2.25,B
CAN,HOSPITALBED,ACUTE,1000HAB,A,2007,2.2,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2008,2.17,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2009,2.12,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2010,2.09,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2011,2.1,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2012,2.1,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2013,2.07,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2014,2.06,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2015,2.02,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2016,2.01,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2017,1.96,
CAN,HOSPITALBED,ACUTE,1000HAB,A,2018,1.95,P
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1995,0.4,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1996,0.39,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1997,0.38,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1998,0.37,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,1999,0.35,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2000,0.31,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2001,0.29,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2002,0.27,
CAN,HOSPITALBED,PSYCHIATRIC,1000HAB,A,2003,0.31,
