name	populationServed	ageDistribution	hospitalBeds	ICUBeds	suspectedCaseMarch1st	importsPerDay
CHE-Ticino	353000	Switzerland	1264	57	842	0.1
CHE-Vaud	799000	Switzerland	2861	130	411	0.1
CHE-Valais	344000	Switzerland	1231	56	223	0.1
CHE-Neuchâtel	177000	Switzerland	633	28	7	0.1
CHE-Geneva	499000	Switzerland	1787	81	287	0.1
CHE-Jura	73000	Switzerland	261	11	1	0.1
DEU-Baden-Württemberg	11070000	Germany	66152	3156	433	0.9
DEU-Bayern	13077000	Germany	78146	3728	434	1.1
DEU-Berlin	3645000	Germany	21781	1039	21	0.2
DEU-Bremen	683000	Germany	4081	194	6	0.1
DEU-Brandenburg	2512000	Germany	15011	716	6	0.1
DEU-Hamburg	1841000	Germany	11001	524	8	0.1
DEU-Hessen	6266000	Germany	37444	1786	29	0.4
DEU-Mecklenburg-Vorpommern	1610000	Germany	9621	459	9	0.1
DEU-Niedersachsen	7982000	Germany	47699	2275	15	0.6
DEU-Nordrhein-Westfalen	17933000	Germany	107164	5113	403	1.6
DEU-Rheinland-Pfalz	4085000	Germany	24411	1164	7	0.2
DEU-Saarland	991000	Germany	5922	282	4	0.1
DEU-Sachsen	4078000	Germany	24369	1162	4	0.2
DEU-Sachsen-Anhalt	2208000	Germany	13194	629	9	0.1
DEU-Schleswig-Holstein	2897000	Germany	17312	826	9	0.2
DEU-Thüringen	2143000	Germany	12806	611	4	0.1
DEU-NI-RegionGöttingen	600000	Germany	6000	300	10	0.1
ESP-Andalucía	8414240	Spain	19744	801	1022	5
ESP-Aragón	1319291	Spain	3096	125	790	5
ESP-Asturias	1022800	Spain	2400	97	240	5
ESP-Baleares	1149460	Spain	2697	109	144	5
ESP-Canarias	2153389	Spain	5053	205	220	5
ESP-Cantabria	581078	Spain	1363	55	19	5
ESP-Castilla-La Mancha	2032863	Spain	4770	193	1894	5
ESP-Castilla y León	2399548	Spain	5630	228	1307	5
ESP-Cataluña	7675217	Spain	18010	731	2444	5
ESP-Ceuta	84777	Spain	199	8	0	5
ESP-C. Valenciana	5003769	Spain	11741	476	1114	5
ESP-Extremadura	1067710	Spain	2505	101	392	5
ESP-Galicia	2699499	Spain	6334	257	277	5
ESP-Madrid	6663394	Spain	15636	634	36528	5
ESP-Melilla	86487	Spain	203	8	7	5
ESP-Murcia	1493898	Spain	3505	142	4	5
ESP-Navarra	654214	Spain	1535	62	324	5
ESP-País Vasco	2207776	Spain	5180	210	2444	5
ESP-La Rioja	316798	Spain	743	30	384	5
SWE-Stockholm	2000000	Sweden	4506	108	77	0.2
ITA-Piemonte	4356406	Italy	14826	320	490	5
ITA-Valle d’Aosta	125666	Italy	449	0	10	5
ITA-Lombardia	10060574	Italy	34473	1067	20000	5
ITA-TrentinoAltoAdige	1072276	Italy	3763	75	100	5
ITA-Veneto	4905854	Italy	15857	825	3000	5
ITA-Friuli Venezia Giulia	1215220	Italy	3899	825	600	5
ITA-Liguria	1550640	Italy	5085	75	2500	5
ITA-Emilia Romagna	4459477	Italy	16304	650	15000	5
ITA-Toscana	3729641	Italy	10366	447	200	5
ITA-Umbria	882015	Italy	2652	69	100	5
ITA-Marche	1525271	Italy	4698	400	700	5
ITA-Lazio	5879082	Italy	18887	540	300	5
ITA-Abruzzo	1311580	Italy	3872	70	200	5
ITA-Molise	305617	Italy	1029	30	10	5
ITA-Campania	5801692	Italy	14779	320	1000	5
ITA-Puglia	4029053	Italy	11306	300	200	5
ITA-Basilicata	562869	Italy	1681	5	10	5
ITA-Calabria	1947131	Italy	4901	107	50	5
ITA-Sicilia	4999891	Italy	13642	441	300	5
ITA-Sardegna	1639591	Italy	4960	244	10	5
USA-Wyoming	567025	United States of America	1985	66	1	1
USA-Vermont	628061	United States of America	1319	44	0	1
USA-District of Columbia	720687	United States of America	3171	106	2	1
USA-Alaska	734002	United States of America	1615	54	0	1
USA-North Dakota	761723	United States of America	3275	109	1	1
USA-South Dakota	903027	United States of America	4335	145	9	1
USA-Delaware	982895	United States of America	2162	72	0	1
USA-Rhode Island	1056161	United States of America	2218	74	3	1
USA-Montana	1086759	United States of America	3586	120	1	1
USA-Maine	1345790	United States of America	3364	112	3	1
USA-New Hampshire	1371246	United States of America	2880	96	2	1
USA-Hawaii	1412687	United States of America	2684	89	1	1
USA-West Virginia	1778070	United States of America	6757	225	0	1
USA-Idaho	1826156	United States of America	3470	116	1	1
USA-Nebraska	1952570	United States of America	7029	234	8	1
USA-New Mexico	2096640	United States of America	3774	126	3	1
USA-Kansas	2910357	United States of America	9604	320	0	1
USA-Mississippi	2989260	United States of America	11957	399	0	2
USA-Puerto Rico	3032160	United States of America	6064	202	0	2
USA-Arkansas	3038999	United States of America	9725	324	1	2
USA-Nevada	3139658	United States of America	6593	220	1	2
USA-Iowa	3179840	United States of America	9540	318	7	2
USA-Utah	3282115	United States of America	5908	197	0	2
USA-Connecticut	3563070	United States of America	7126	238	0	2
USA-Oklahoma	3954821	United States of America	11073	369	0	2
USA-Oregon	4301089	United States of America	6882	229	13	2
USA-Kentucky	4499692	United States of America	14399	480	3	2
USA-Louisiana	4645184	United States of America	15329	511	479	2
USA-Alabama	4908621	United States of America	15217	507	0	2
USA-South Carolina	5210095	United States of America	12504	417	2	2
USA-Minnesota	5700671	United States of America	14252	475	2	2
USA-Colorado	5845526	United States of America	11106	370	7	2
USA-Wisconsin	5851754	United States of America	12289	410	1	2
USA-Maryland	6083116	United States of America	11558	385	2	2
USA-Missouri	6169270	United States of America	19125	638	0	2
USA-Indiana	6745354	United States of America	18212	607	2	2
USA-Tennessee	6897576	United States of America	20003	667	1	2
USA-Massachusetts	6976597	United States of America	16046	535	20	2
USA-Arizona	7378494	United States of America	14019	467	2	2
USA-Washington	7797095	United States of America	13255	442	3148	2
USA-Virginia	8626207	United States of America	18115	604	5	2
USA-New Jersey	8936574	United States of America	21448	715	479	5
USA-Michigan	10045029	United States of America	25113	837	8	5
USA-North Carolina	10611862	United States of America	22285	743	2	5
USA-Georgia	10736059	United States of America	25767	859	503	5
USA-Ohio	11747694	United States of America	32894	1096	0	5
USA-Illinois	12659682	United States of America	31649	1055	215	5
USA-Pennsylvania	12820878	United States of America	37181	1239	2	5
USA-New York	19440469	United States of America	52489	1750	1246	10
USA-Florida	21992985	United States of America	57182	1906	381	10
USA-Texas	29472295	United States of America	67786	2260	154	10
USA-California	39937489	United States of America	71887	2396	726	10
India	1380004385	India	1376013	70000	131	40
IND-Andhra Pradesh	52883163	India	23138	2278	0	2
IND-Arunachal Pradesh	1528296	India	2404	236	0	0.1
IND-Assam	34586234	India	17142	1688	0	1
IND-Bihar	119461013	India	12019	1183	0	1
IND-Chhattisgarh	28566990	India	9412	926	0	0.1
IND-Goa	1542750	India	3013	296	0	0.1
IND-Gujarat	63907200	India	32280	3179	0	3
IND-Haryana	27388008	India	11240	1106	53	1
IND-Himachal Pradesh	7316708	India	12399	1221	0	1
IND-Jammu & Kashmir	13635010	India	11651	1147	0	1
IND-Jharkhand	37329128	India	10784	1062	0	1
IND-Karnataka	66165886	India	70165	6910	2	6
IND-Kerala	35330888	India	38004	3742	15	3
IND-Madhya Pradesh	82342793	India	28839	2840	0	2
IND-Maharashtra	120837347	India	51446	5066	10	5
IND-Manipur	3008546	India	1427	140	0	0.1
IND-Meghalaya	3276323	India	4457	438	0	0.1
IND-Mizoram	1205974	India	1997	196	0	0.1
IND-Nagaland	2189297	India	1880	185	0	0.1
IND-Odisha	45429399	India	18519	1823	0	1
IND-Punjab	29611935	India	17933	1766	0	1
IND-Rajasthan	78230816	India	31848	3136	0	3
IND-Sikkim	671720	India	1560	153	0	0.1
IND-Tamil Nadu	76481545	India	77532	7635	0	7
IND-Telangana	38472769	India	20983	2066	1	2
IND-Tripura	4057847	India	4417	435	0	0.1
IND-Uttar Pradesh	228959599	India	76260	7510	17	7
IND-Uttarakhand	11090425	India	8512	838	0	0.1
IND-West Bengal	97694960	India	78566	7737	0	7
IND-Andaman & Nicobar Islands	419978	India	1075	105	0	0.1
IND-Chandigarh	1126705	India	778	76	0	0.1
IND-Dadra & Nagar Haveli	378979	India	589	58	0	0.1
IND-Daman & Diu	220084	India	240	23	0	0.1
IND-Delhi	18345784	India	24383	2401	5	2
IND-Lakshadweep	71218	India	300	29	0	0.1
IND-Puducherry	1375592	India	3569	351	0	0.1
FRA-Auvergne-Rhône-Alpes	8026685	France	16641	555	1744	1
FRA-Bourgogne-Franche-Comté	2795301	France	7095	121	1072	1
FRA-Bretagne	3329395	France	7361	109	450	1
FRA-Centre-Val-de-Loire	2566759	France	4984	170	16	1
FRA-Corse	339178	France	756	71	358	1
FRA-Grand-Est	5518188	France	13548	465	5849	1
FRA-Hauts-de-France	5978266	France	13872	438	3159	1
FRA-Ile-de-France	12213364	France	22792	1147	2398	1
FRA-Normandie	3319067	France	7645	294	235	1
FRA-Nouvelle-Aquitaine	5987014	France	12491	449	208	1
FRA-Occitanie	5892817	France	9851	466	677	1
FRA-Pays-de-la-Loire	3786545	France	6570	181	23	1
FRA-Provence-Alpes-Côte-dAzur	5059473	France	9909	460	402	1
FRA-Guadeloupe	382704	France	735	20	1	1
FRA-Guyane	296711	France	383	15	13	1
FRA-La-Réunion	866506	France	1260	60	0	1
FRA-Martinique	364354	France	882	20	3	1
FRA-Mayotte	270372	France	300	15	0	1
Israel	9136000	Israel	15871	758	12	4
Iceland	364260	Iceland	1169	29	53	0.1
